Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Chaparral Shrubland,47,SYVCM_50A1120Y,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,6421,SYVCM_50A1120Y,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,1,SYVCM_50A1120Y,SH3,143,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,266370,SYVCM_50A1120Y,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,624426,SYVCM_50A1120Y,SH5,145,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Grassland,513,SYVCM_50A1120Y,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,52534,SYVCM_50A1120Y,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,4650,SYVCM_50A1120Y,GR3,103,Adjacent unburned 1 km buffer (>20 yr),GR3,103
Grass–Shrub,9870,SYVCM_50A1120Y,GS1,121,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,315605,SYVCM_50A1120Y,GS2,122,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,11691,SYVCM_50A1120Y,GS3,123,Adjacent unburned 1 km buffer (>20 yr),GS3,123
Nonburnable,23797,SYVCM_50A1120Y,NB1,91,Adjacent unburned 1 km buffer (>20 yr),NB1,91
Nonburnable,14,SYVCM_50A1120Y,NB8,98,Adjacent unburned 1 km buffer (>20 yr),NB8,98
Nonburnable,13893,SYVCM_50A1120Y,NB9,99,Adjacent unburned 1 km buffer (>20 yr),NB9,99
Timber Litter,15,SYVCM_50A1120Y,TL1,181,Adjacent unburned 1 km buffer (>20 yr),TL1,181
Timber Litter,1120,SYVCM_50A1120Y,TL3,183,Adjacent unburned 1 km buffer (>20 yr),TL3,183
Timber Litter,239,SYVCM_50A1120Y,TL4,184,Adjacent unburned 1 km buffer (>20 yr),TL4,184
Timber Litter,5440,SYVCM_50A1120Y,TL5,185,Adjacent unburned 1 km buffer (>20 yr),TL5,185
Timber Litter,1416,SYVCM_50A1120Y,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,6,SYVCM_50A1120Y,TL7,187,Adjacent unburned 1 km buffer (>20 yr),TL7,187
Timber Litter,1,SYVCM_50A1120Y,TL9,189,Adjacent unburned 1 km buffer (>20 yr),TL9,189
Woodland (Drainages),7,SYVCM_50A1120Y,TU1,161,Adjacent unburned 1 km buffer (>20 yr),TU5,165
Woodland (Drainages),10864,SYVCM_50A1120Y,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU2,162
Woodland (Drainages),156,SYVCM_50A1120Y,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),135102,SYVCM_50A1120Y,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
