Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Timber Litter,817,Alisal Fire 2021,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,3860,Alisal Fire 2021,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,7373,Alisal Fire 2021,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,19,Alisal Fire 2021,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,46,Alisal Fire 2021,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Timber Litter,25,Alisal Fire 2021,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Timber Litter,10,Alisal Fire 2021,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Timber Litter,1,Alisal Fire 2021,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Timber Litter,2,Alisal Fire 2021,TL9,189,Adjacent unburned 1 km buffer (>20 yr),TL9,189
Timber Litter,3,Alisal Fire 2021,TL9,189,Adjacent unburned 1 km buffer (>20 yr),TL9,189
Woodland (Drainages),1,Alisal Fire 2021,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU2,162
Woodland (Drainages),81,Alisal Fire 2021,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU2,162
Woodland (Drainages),10,Alisal Fire 2021,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),28,Alisal Fire 2021,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),20,Alisal Fire 2021,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),527,Alisal Fire 2021,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
Woodland (Drainages),6382,Alisal Fire 2021,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
Woodland (Drainages),4356,Alisal Fire 2021,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
Woodland (Drainages),10,Alisal Fire 2021,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
